0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,Label
-260.1085,100.856926,-25.453163,-0.26903588,-15.496022,-11.916001,-12.884925,-5.1382093,-15.833023,6.257811,-19.12237,-3.2959812,-9.022757,-5.3560014,-8.236508,-5.466085,-7.6727405,-3.957086,-8.035568,-6.582905,-6.6570683,-4.363709,-9.121484,-3.4520514,-7.6857166,-6.263259,-7.1979446,-5.648842,-7.9906893,-4.6525254,-3.8777647,-3.3153641,1.99875,0.18023077,1.723869,1.1114796,0.9347111,-0.20711721,0.8993341,0.7836457,FAKE
-258.9036,93.914345,-27.627075,-1.9326234,-13.1137905,-17.308937,-16.980614,-6.1603074,-13.806536,0.11201827,-13.5030365,-3.1980257,-7.6881886,-10.505781,-9.077229,-12.601463,-12.037309,-4.117791,-7.679174,-5.176277,-6.2236433,-6.092772,-1.6259032,7.774641,3.3585079,4.6042137,2.233432,2.480516,4.0033236,-0.045372482,-1.1004213,-1.1105105,0.6671095,-1.934437,-0.5601038,-0.7248279,-1.2462391,-2.435469,-0.5137795,1.363245,FAKE
-268.50894,118.533066,-38.89298,13.812951,0.95487934,-9.624188,-7.970809,-5.0410466,-15.510432,3.864957,-7.4000525,0.85523677,-3.03987,0.6168638,-6.281366,0.46330008,-5.382605,-3.9098449,-2.379909,0.091512166,-8.074308,-0.19117114,-4.6577187,-4.6065574,-2.289094,-4.1848383,-2.0690017,-2.7113883,-1.8279064,-1.1055752,-0.986918,-1.103893,3.9234514,3.1983523,2.6754324,4.2573485,2.1845303,2.536247,3.1261797,2.5981612,FAKE
-272.68378,101.50515,-22.251564,4.101077,-13.010054,-2.0067053,-14.781232,-6.4339256,-9.6004715,-0.3251042,-7.303461,-2.6248477,-5.2756314,-2.2670484,-9.210426,-0.6697293,-6.918519,-4.0127525,-3.2980194,-3.839853,-5.46707,-1.8027078,-1.2632242,-0.8715056,0.1207221,1.1596665,-0.19775231,-0.83366525,1.0104294,-1.3602563,-0.92265064,-2.1075509,-0.4808489,-0.95766723,-1.7987597,-2.398288,-1.9867449,-3.442671,-1.9428216,-1.4057759,FAKE
-254.73932,66.81036,-33.19487,-4.094302,-21.5257,-7.582412,-17.506756,-6.2469726,-16.6611,0.03336176,-11.853679,-1.5912809,-6.788474,-1.3529011,-9.15108,1.6358083,-11.820272,-2.5215235,-5.408006,-7.5329533,-7.892402,0.056832705,-3.8189414,3.7385123,3.4166462,3.2812943,1.2679166,1.7140452,1.0265805,0.36974022,0.4062242,-0.5684099,-0.93857557,-0.59243226,-0.46118662,-1.18904,-1.932739,-1.3734132,-2.1283572,-1.8776495,FAKE
-257.93683,64.86041,-25.226696,10.45378,-22.00046,-7.905928,-13.830372,-1.5537796,-14.400801,3.5851831,-14.58132,1.0567677,-13.156489,-3.6993515,-11.043175,-8.9415655,-11.673278,-3.5713644,-13.075293,-4.623428,-8.071563,-2.61594,-5.1002316,4.14479,-1.6068785,2.2821162,1.2916201,-0.9769944,0.55971444,-0.4674052,-2.6065717,-0.94420296,-1.8904868,-1.1770675,-2.385585,-2.0415227,-2.104379,-3.9062579,-2.0130067,-1.8299898,FAKE
-280.70587,90.476036,-29.340605,-1.4076414,-10.379232,-5.2440376,-16.590866,-1.7064363,-16.501638,-4.703816,-2.8285797,-7.1333876,-6.335107,1.1816615,-8.194813,0.8649496,-12.631316,-3.2062669,-10.357286,-5.793434,-6.2175293,-0.98209184,-4.448883,2.053816,-1.8871975,3.1915836,-1.2751895,3.6811073,-0.3929711,2.618118,-0.3668919,1.7716285,1.1470435,0.07887222,-1.1032494,0.07036192,-1.7541461,-1.3569236,-1.2135379,-0.51374954,FAKE
-242.47618,94.89489,6.8227596,33.255135,3.9078224,9.701347,-13.826393,-1.9726433,-9.559812,7.1805615,-8.716327,4.787618,-4.311183,0.2534324,-4.7354574,3.0037842,-6.7334394,2.0796764,-1.5483062,3.7021725,-6.3613048,0.02702473,-2.90772,-0.050275695,-3.902566,1.3444636,-2.3565392,-0.69235766,-0.70240533,-2.0158062,-1.5726451,-0.87853944,0.07164778,-3.5933983,-0.06221039,-2.8231418,-1.0933578,-1.3315642,0.4761639,-2.9474359,FAKE
-361.67105,100.891945,4.1052575,28.479933,1.6772891,2.3129685,-12.772098,8.369359,-4.7282524,11.108903,-6.1222076,12.688414,-2.1591532,3.4140384,-2.0268352,-2.47471,-5.5192304,7.382773,0.505882,6.995735,-1.0598742,-0.5362638,0.9155842,10.153228,2.9590244,5.0871997,1.5516012,4.6957316,3.8257027,0.2818188,-0.1988095,1.136219,2.539535,0.5397646,0.8736075,1.3594589,1.4145749,0.41849133,3.2722375,3.4354877,FAKE
-299.7777,114.965454,-12.397703,33.86784,14.58329,2.1523545,-8.265089,-1.8472173,-12.44614,6.6170616,-3.7507887,6.534606,-1.0260457,7.903302,-3.5145564,8.162762,-2.6432858,-0.46166885,0.91038144,4.8093863,-7.208024,2.8169074,-2.688902,-0.7133901,-0.93369776,0.410879,1.1001594,0.4376869,-0.26073384,0.09507613,-0.85651284,-1.5495154,1.2792323,0.61963886,-0.52954274,0.37949598,-0.9443378,-0.09348801,0.3281327,-1.0068315,FAKE
-256.0186,108.669876,2.028418,24.126278,2.094895,9.667885,-17.182493,-4.9088,-7.337729,5.6062713,-3.0308602,2.7747467,-2.2750027,2.1275914,-7.217521,6.0175605,-3.1395698,0.38202822,-0.29536992,2.8091774,-2.8035955,-1.1544269,0.81085414,-1.4441004,-2.4438562,1.9182919,-1.7851391,-1.1533685,0.24221036,-1.3581103,-0.7627535,-0.1422501,0.70272166,-0.43502805,0.24795267,-1.7442584,-0.18493992,-1.7003045,-0.273507,-0.546972,FAKE
-325.50876,106.18816,5.058224,31.05348,1.9149289,14.647467,-13.840372,5.306364,-6.624907,3.1809375,-1.4295727,6.3143816,-0.8430241,5.3329434,1.8925315,5.1377697,-4.5223193,3.9687793,-0.99174464,-0.23062725,-2.1323798,0.43265656,-0.8781725,1.6879823,-0.09234455,2.2832186,-1.3777997,1.3041279,-0.40627545,-1.584833,-0.1497009,-0.38424534,0.14070673,-0.8532887,-0.039126188,-1.7398541,-1.1435789,-0.8289556,0.061631553,-2.4362452,FAKE
-272.61612,64.56734,6.334692,39.948658,-8.41217,4.100521,-13.654524,9.320094,-9.314509,9.732417,-8.365652,11.239138,-7.8445683,5.985988,-4.5660486,-0.7779521,-6.284909,5.5801196,-6.663135,4.2142935,-2.5887666,3.452148,-3.2720978,7.2192507,-1.3752329,3.5914462,1.972485,1.6563419,2.412634,1.347244,-0.18319961,3.156479,0.9698705,3.0642543,0.8614517,1.4124111,1.80909,0.33626297,2.2258072,0.9415686,FAKE
-248.07278,92.18548,1.4409311,27.141768,7.8624697,10.970088,-11.96423,2.2834406,-12.040924,-1.8088017,-1.0236676,1.745776,-5.854672,8.525533,-1.2708727,8.6045265,-9.009067,1.7320547,-5.7805147,0.32369205,-4.882687,3.9064522,-5.234628,1.9629211,-6.203735,1.31973,-5.1528883,1.8392948,-3.1529913,0.75397336,-2.8422835,3.4363847,-0.04304053,0.6231492,-1.8386158,0.7551059,-1.5238341,-1.0820539,-0.021923637,-0.36120018,FAKE
-253.21689,95.454445,-7.5836635,17.361046,-11.550299,1.9195585,-20.198381,-7.715794,-16.638134,-1.6699752,-11.997474,-0.77651,-10.509447,-4.4611964,-11.116407,-2.6159692,-9.497339,-3.9987562,-5.983994,-1.6480114,-8.663204,-2.461237,-4.996248,-5.0425696,-6.476755,-2.9672227,-6.3933153,-3.4655585,-5.0598836,-5.3123355,-4.11381,-3.625554,-2.832466,-4.764624,-1.4539005,-3.6527567,-1.7322507,-2.582669,-1.0118827,-3.687915,FAKE
